id,Nome_KOI,Nome_Kepler,Disposicao_KOI,Pontuacao_KOI,Periodo_Orbital,Raio_Planeta,Temperatura_Equilibrio,Fluxo_Insolacao,Temperatura_Efetiva,Gravidade_Surface,Erro_Periodo_Orbital_+,Erro_Periodo_Orbital_-,Flag_Nao_Transito,Flag_Sinal_Secundario,Flag_Contaminacao,Flag_Contaminacao_Ecliptica
11075429,K02198.01,Kepler-1137 b,CONFIRMED,0.991,23.9210408,3.01,1020.0,255.65,3938.3333333333335,4.031,0.0001499,-0.0001499,0,0,0,0
11705004,K02199.01,Kepler-1806 b,CONFIRMED,0.993,9.03326435,1.96,729.0,66.89,2932.777777777778,4.588,8.042e-05,-8.042e-05,0,0,0,0
11244682,K03933.01,Kepler-1699 b,CONFIRMED,1.0,3.490785878,1.32,1010.0,245.65,3035.5555555555557,4.618,6.042e-06,-6.042e-06,0,0,0,0
5895158,K03935.01,Kepler-1532 b,CONFIRMED,1.0,1.093665854,1.29,1681.0,1880.33,3229.4444444444443,4.541,1.869e-06,-1.869e-06,0,0,0,0
4947556,K03936.01,Kepler-9287 rr,CANDIDATE,0.0,141.608555,2.98,290.0,1.68,2806.1111111111113,4.512,0.0007182,-0.0007182,0,0,0,0
7287028,K07832.01,Kepler-8569 rr,CANDIDATE,0.465,3.6092231,0.68,1192.0,477.0,3333.3333333333335,4.508,0.0005535,-0.0005535,0,0,0,0
8376848,K04007.01,Kepler-1206 r,CANDIDATE,0.964,11.4927112,25.01,858.0,127.97,3425.5555555555557,4.464,0.0001425,-0.0001425,0,0,0,0
4173026,K02172.02,Kepler-1801 c,CONFIRMED,0.991,116.583183,2.91,371.0,4.47,3170.0,4.426,0.002231,-0.002231,0,0,0,0
8934103,K04009.01,Kepler-1538 b,CONFIRMED,0.997,175.13892,3.06,346.0,3.39,3036.1111111111113,4.243,0.002581,-0.002581,0,0,0,0
4947556,K03936.02,Kepler-1930 b,CONFIRMED,0.91,13.0267964,2.08,643.0,40.51,2806.1111111111113,4.512,4.361e-05,-4.361e-05,0,0,0,0
7300182,K07833.01,Kepler-2566 rr,CANDIDATE,0.923,172.820248,2.22,338.0,3.08,3412.222222222222,4.499,0.005097,-0.005097,0,0,0,0
9009953,K04014.01,Kepler-1700 b,CONFIRMED,0.982,234.240739,3.41,329.0,2.77,3212.222222222222,4.269,0.004013,-0.004013,0,0,0,0
9904006,K02135.02,Kepler-2769 r,CANDIDATE,1.0,20.1890396,1.39,794.0,93.89,3414.4444444444443,4.269,0.0003122,-0.0003122,0,0,0,0
7679812,K03943.01,Kepler-1931 b,CONFIRMED,0.974,38.5763483,2.05,619.0,34.77,3408.3333333333335,4.333,0.0002012,-0.0002012,0,0,0,0
7366501,K07834.01,Kepler-652 rr,CANDIDATE,0.802,7.3812344,1.0,944.0,187.24,3355.5555555555557,4.51,0.0001091,-0.0001091,0,0,0,0
8282846,K04015.01,Kepler-1539 b,CONFIRMED,1.0,133.303247,2.67,301.0,1.94,2795.5555555555557,4.474,0.001334,-0.001334,0,0,0,0
5938970,K04016.01,Kepler-1540 b,CONFIRMED,1.0,125.4132302,3.14,266.0,1.18,2560.5555555555557,4.557,0.0003895,-0.0003895,0,0,0,0
7375348,K00266.01,Kepler-508 b,CONFIRMED,1.0,25.30893566,1.77,710.0,60.2,3287.222222222222,4.272,6.707e-05,-6.707e-05,0,0,0,0
8636434,K03946.01,Kepler-1533 b,CONFIRMED,0.988,308.544422,3.28,330.0,2.81,3496.1111111111113,4.274,0.001547,-0.001547,0,0,0,0
